FID,name,address,chips,crackers,blackbeanc,blackbeans,speltpasta,tortillas,pintobeans,popcorn,milledprod,products,latitude,longitude,addrtype,addrlocat,index
0,Kroger Athens,"919 E State St, Athens, OH 45701",1,1,0,1,1,0,1,1,0,"Chips, Black Bean Chips, Spelt Pasta, Pinto Beans, Popcorn",39.336,-82.069,street_address,RANGE_INTERPOLATED,"Kroger Athens | Chips, Black Bean Chips, Spelt Pasta, Pinto Beans, Popcorn"
51,Heinen's Brecksville,"8383 Chippewa Rd. Brecksville, OH 44141",1,1,0,0,0,0,0,0,0,Coming Soon,41.3213433,-81.6233831,premise,ROOFTOP,Heinen's Brecksville | Coming Soon
52,Heinen's Mayfield Village,"860 SOM Center Rd. Mayfield Village, OH 44143",1,1,0,0,0,0,0,0,0,Coming Soon,41.5377891,-81.4400715,premise,ROOFTOP,Heinen's Mayfield Village | Coming Soon
53,Heinen's Mentor,"8850 Mentor Av. Mentor, OH 44060",1,1,0,0,0,0,0,0,0,Coming Soon,41.6725977,-81.323345,street_address,ROOFTOP,Heinen's Mentor | Coming Soon
54,Heinen's Middleburg Heights,"15300 East Bagley Rd. Middleburg Heights, OH 44130",1,1,0,0,0,0,0,0,0,Coming Soon,41.3703013,-81.8044625,premise,ROOFTOP,Heinen's Middleburg Heights | Coming Soon
55,Heinen's Pepper Pike,"30849 Pinetree Rd. Pepper Pike, OH 44124",1,1,0,0,0,0,0,0,0,Coming Soon,41.463017,-81.459964,street_address,ROOFTOP,Heinen's Pepper Pike | Coming Soon
56,Heinen's Rocky River,"19219 Detroit Rd. Rocky River, OH 44116",1,1,0,0,0,0,0,0,0,Coming Soon,41.4815521,-81.8350462,street_address,ROOFTOP,Heinen's Rocky River | Coming Soon
57,Heinen's Shaker Heights,"16611 Chagrin Blvd. Shaker Heights, OH 44120",1,1,0,0,0,0,0,0,0,Coming Soon,41.4652204,-81.5633927,street_address,ROOFTOP,Heinen's Shaker Heights | Coming Soon
58,Heinens's Strongsville,"18300 Royalton Rd. Strongsville, OH 44136",1,1,0,0,0,0,0,0,0,Coming Soon,41.3157432,-81.8300972,premise,ROOFTOP,Heinens's Strongsville | Coming Soon
59,Heinen's Twinsburg,"10049 Darrow Rd. Twinsburg, OH 44087",1,1,0,0,0,0,0,0,0,Coming Soon,41.3392509,-81.4378948,premise,ROOFTOP,Heinen's Twinsburg | Coming Soon
60,Heinen's University Heights,"2180 South Green Rd. University Heights, OH 44121",1,1,0,0,0,0,0,0,0,Coming Soon,41.500288,-81.5200292,street_address,ROOFTOP,Heinen's University Heights | Coming Soon
61,Whole Foods Rocky River,"19607 Detroit Rd, Rocky River, OH 44116",1,1,1,0,0,0,0,0,0,Coming Soon,41.478747,-81.8396403,street_address,ROOFTOP,Whole Foods Rocky River | Coming Soon
62,Whole Foods Chagrin,"27249 Chagrin Blvd, Woodmere, OH 44122",1,1,0,0,0,0,0,0,0,Coming Soon,41.4633501,-81.4862972,street_address,ROOFTOP,Whole Foods Chagrin | Coming Soon
63,Whole Foods Universtiy Heights,"13998 Cedar Rd, University Heights, OH 44118",1,1,0,0,0,0,0,0,0,Coming Soon,41.5007845,-81.5369211,premise,ROOFTOP,Whole Foods Universtiy Heights | Coming Soon
64,Wild Ramp Market,"555 14th St, Huntington, WV 25704",1,1,0,1,0,0,0,0,0,Coming Soon,38.4111526,-82.4792478,premise,ROOFTOP,Wild Ramp Market | Coming Soon
65,Little Eater,"59 Spruce St, Columbus, OH 43215",1,1,1,0,0,1,0,0,0,Coming Soon,39.9718947,-83.0043147,premise,ROOFTOP,Little Eater | Coming Soon
