FID,name,address,chips,crackers,blackbeanc,blackbeans,speltpasta,tortillas,adzuki beans,pintobeans,popcorn,milledprod,products,latitude,longitude,addrtype,addrlocat,index
29,Luna Burger,"5760 Westbourne Ave, Columbus, OH 43213",0,0,0,1,0,0,0,0,0,0,Black Beans,39.9842178,-82.8455802,street_address,ROOFTOP,Luna Burger|Black Beans
30,Ohio Tap Room,"1291 W 3rd Ave, Columbus, OH 43212",1,0,0,0,0,0,0,0,0,0,Chips,39.984677,-83.040096,street_address,ROOFTOP,Ohio Tap Room|Chips
31,Weiland's Market,"3600 Indianola Ave, Columbus, OH 43214",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips, Tortillas",40.0371821,-82.9996117,street_address,ROOFTOP,"Weiland's Market|Chips, Crackers, Black Bean Chips, Tortillas"
32,Whole Foods Easton,"4100 Easton Gateway Dr, Columbus, OH 43219",1,1,1,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips, Tortillas",40.056427,-82.9066561,street_address,RANGE_INTERPOLATED,"Whole Foods Easton|Chips, Crackers, Black Bean Chips, Tortillas"
33,Whole Foods Dublin,"3670 W Dublin Granville Rd, Columbus, OH 43235",1,1,1,0,0,0,0,0,0,0,"Chips, Crackers",40.0983462,-83.0869952,street_address,ROOFTOP,"Whole Foods Dublin|Chips, Crackers"
34,Whole Foods Upper Arlington,"1555 W Lane Ave, Upper Arlington, OH 43221",1,1,1,1,0,1,0,0,0,0,"Chips, Crackers",40.006602,-83.0525842,street_address,ROOFTOP,"Whole Foods Upper Arlington|Chips, Crackers"
35,Tiny Footprint Distribution,"415 Elliott Ave, Cincinnati, OH 45215",1,1,1,1,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips, Black Beans, Pinto Beans",39.2131653,-84.4575686,street_address,ROOFTOP,"Tiny Footprint Distribution|Chips, Crackers, Black Bean Chips, Black Beans, Pinto Beans"
36,Madison's Findlay Market,"110 W Elder St, Cincinnati, OH 45202",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",39.115651,-84.518833,street_address,ROOFTOP,"Madison's Findlay Market|Chips, Crackers"
37,Whole Foods Rookwood," 2693 Edmondson Rd, Cincinnati, OH 45209",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",39.1454972,-84.4471085,premise,ROOFTOP,"Whole Foods Rookwood|Chips, Crackers"
38,Whole Foods Mason,"5805 Deerfield Blvd, Mason, OH 45040",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",39.3091425,-84.3166423,street_address,ROOFTOP,"Whole Foods Mason|Chips, Crackers"
39,All Things Food Co-op,"114 N Main St, Bryan, OH 4350",1,0,0,0,0,0,0,0,0,0,Chips,41.4750029,-84.5506175,premise,ROOFTOP,All Things Food Co-op|Chips
41,Local Roots,"140 S Walnut St, Wooster, OH 44691",1,0,0,1,0,1,0,0,0,0,"Chips, Black Beans, Tortillas",40.7972298,-81.9410752,premise,ROOFTOP,"Local Roots|Chips, Black Beans, Tortillas"
42,Caldwell Food Center Emporium,"110 Olive St, Caldwell, OH 43724",1,0,0,0,0,0,0,0,0,0,Chips,39.7422575,-81.5065565,street_address,RANGE_INTERPOLATED,Caldwell Food Center Emporium|Chips
43,Fresh Fork,"3800 Woodland Ave, Cleveland, OH 44115",0,1,0,0,0,0,1,0,0,0,"Crackers, Black Beans, Pinto Beans, Adzuki Beans",41.4896032,-81.6616924,premise,ROOFTOP,"Fresh Fork|Crackers, Black Beans, Pinto Beans, Adzuki Beans"
44,The Going Green Store,"909 River Rd, Granville, OH 43023",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",40.0591814,-82.5194957,street_address,RANGE_INTERPOLATED,"The Going Green Store|Chips, Crackers"
45,Oberlin IGA,"331 E Lorain St, Oberlin, OH 44074",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.2930196,-82.205311,premise,ROOFTOP,"Oberlin IGA|Chips, Crackers"
47,Heinen's Aurora,"115 N. Chillicothe Rd. Aurora, OH 44202",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.3203339,-81.3471175,street_address,ROOFTOP,"Heinen's Aurora|Chips, Crackers"
48,Heinen's Avon,"35980 Detroit Rd. Avon, OH 44011",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.4603614,-82.0178468,premise,ROOFTOP,"Heinen's Avon|Chips, Crackers"
49,Heinen's Bainbridge,"8482 E. Washington St. Bainbridge, OH 44022",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.4134782,-81.3389093,street_address,ROOFTOP,"Heinen's Bainbridge|Chips, Crackers"
50,Heinen's Bay Village,"434 Dover Center Rd. Bay Village, OH 44140",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.4836498,-81.9221086,premise,ROOFTOP,"Heinen's Bay Village|Chips, Crackers"
51,Heinen's Brecksville,"8383 Chippewa Rd. Brecksville, OH 44141",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.3213433,-81.6233831,premise,ROOFTOP,"Heinen's Brecksville|Chips, Crackers"
52,Heinen's Mayfield Village,"860 SOM Center Rd. Mayfield Village, OH 44143",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.5377891,-81.4400715,premise,ROOFTOP,"Heinen's Mayfield Village|Chips, Crackers"
53,Heinen's Mentor,"8850 Mentor Av. Mentor, OH 44060",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.6725977,-81.323345,street_address,ROOFTOP,"Heinen's Mentor|Chips, Crackers"
54,Heinen's Middleburg Heights,"15300 East Bagley Rd. Middleburg Heights, OH 44130",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.3703013,-81.8044625,premise,ROOFTOP,"Heinen's Middleburg Heights|Chips, Crackers"
55,Heinen's Pepper Pike,"30849 Pinetree Rd. Pepper Pike, OH 44124",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.463017,-81.459964,street_address,ROOFTOP,"Heinen's Pepper Pike|Chips, Crackers"
56,Heinen's Rocky River,"19219 Detroit Rd. Rocky River, OH 44116",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.4815521,-81.8350462,street_address,ROOFTOP,"Heinen's Rocky River|Chips, Crackers"
57,Heinen's Shaker Heights,"16611 Chagrin Blvd. Shaker Heights, OH 44120",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.4652204,-81.5633927,street_address,ROOFTOP,"Heinen's Shaker Heights|Chips, Crackers"
58,Heinens's Strongsville,"18300 Royalton Rd. Strongsville, OH 44136",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.3157432,-81.8300972,premise,ROOFTOP,"Heinens's Strongsville|Chips, Crackers"
59,Heinen's Twinsburg,"10049 Darrow Rd. Twinsburg, OH 44087",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.3392509,-81.4378948,premise,ROOFTOP,"Heinen's Twinsburg|Chips, Crackers"
60,Heinen's University Heights,"2180 South Green Rd. University Heights, OH 44121",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.500288,-81.5200292,street_address,ROOFTOP,"Heinen's University Heights|Chips, Crackers"
61,Whole Foods Rocky River,"19607 Detroit Rd, Rocky River, OH 44116",1,1,1,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips",41.478747,-81.8396403,street_address,ROOFTOP,"Whole Foods Rocky River|Chips, Crackers, Black Bean Chips"
62,Whole Foods Chagrin,"27249 Chagrin Blvd, Woodmere, OH 44122",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips",41.4633501,-81.4862972,street_address,ROOFTOP,"Whole Foods Chagrin|Chips, Crackers, Black Bean Chips"
63,Whole Foods Universtiy Heights,"13998 Cedar Rd, University Heights, OH 44118",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips",41.5007845,-81.5369211,premise,ROOFTOP,"Whole Foods Universtiy Heights|Chips, Crackers, Black Bean Chips"
64,Wild Ramp Market,"555 14th St, Huntington, WV 25704",1,1,0,1,0,0,0,0,0,0,"Chips, Crackers, Black Beans",38.4111526,-82.4792478,premise,ROOFTOP,"Wild Ramp Market|Chips, Crackers, Black Beans"
65,Little Eater,"59 Spruce St, Columbus, OH 43215",1,1,1,0,0,1,0,0,0,0,"Chips, Crackers, Black Bean Chips, Tortillas",39.9718947,-83.0043147,premise,ROOFTOP,"Little Eater|Chips, Crackers, Black Bean Chips, Tortillas"
66,Lucky's Market,"2770 N High St, Columbus, OH 43202",1,1,1,0,0,1,0,0,0,0,"Chips, Crackers, Black Bean Chips, Tortillas",40.019,-83.0116,,,"Lucky's Market|Chips, Crackers, Black Bean Chips, Tortillas"
67,Dayton Whole Foods,"1050 Miamisburg Centerville Rd, Dayton, OH 45458",1,1,1,0,0,0,0,0,0,0,"Chips, Crackers, Black Bean Chips",39.627,-84.1899,,,"Dayton Whole Foods|Chips, Crackers, Black Bean Chips"
68,Dorothy Lane Market Oakwood,"2710 Far Hills Ave, Dayton, OH 45419",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",39.7066,-84.1701,,,"Dorothy Lane Market Oakwood|Chips, Crackers"
69,Dorothy Lane Market Springboro,"740 N Main St, Springboro, OH 45066",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",39.57755,-84.2293,,,"Dorothy Lane Market Springboro|Chips, Crackers"
70,Dorothy Lane Market Washinton Square,"6177 Far Hills Ave, Dayton, OH 45459",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",39.657,-84.1586,,,"Dorothy Lane Market Washinton Square|Chips, Crackers"
71,Yellowbird Foodshed,"11925 Kenyon Rd, Mount Vernon, OH 43050",1,1,1,1,0,1,0,0,1,0,"Chips, Crackers, Black Bean Chips, Black Beans, Popcorn, Tortillas",40.4076,-82.4132,,,"Yellowbird Foodshed|Chips, Crackers, Black Bean Chips, Black Beans, Popcorn, Tortillas"
72,Market No. 9,"W 2nd St, Chillicothe, OH 45601",1,0,0,0,0,1,0,0,0,0,"Chips, Tortillas",39.3345,-82.9829,,,"Market No. 9|Chips, Tortillas"
73,Walt Churchill's Maumee,"3320 Briarfield Blvd, Maumee, OH 43537",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.58067,-83.6973,,,"Walt Churchill's Maumee|Chips, Crackers"
74,Walt Churchill's Perrysburg,"26625 N Dixie Hwy, Perrysburg, OH 43551",1,1,0,0,0,0,0,0,0,0,"Chips, Crackers",41.54008,-83.6355,,,"Walt Churchill's Perrysburg|Chips, Crackers"
75,Kenyon College,"103 College Rd, Gambier, OH 43022",1,0,1,1,0,0,0,0,0,0,"Chips, Black Bean Chips, Black Beans",40.3719,-82.3983,,,"Kenyon College|Chips, Black Bean Chips, Black Beans"
76,Athens City Schools,"23 Lancaster, Athens, OH 45701",1,0,0,1,0,0,0,0,0,0,"Chips, Black Beans",39.3312,-82.10368,,,"Athens City Schools|Chips, Black Beans"
77,Inn at Cedar Falls,"21190 OH-374, Logan, OH 43138",0,0,1,0,0,0,0,0,0,1,"Black Beans, Milled Products",39.424969,-82.525372,,,"Inn At Cedar Falls|Black Beans, Milled Products"
